Domain Code,Domain,Element Code,Element,Item Code,Item,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","5510","Production","156","Sugar cane","t","1377569799.83","E","Estimated value"
"QCL","Crops and livestock products","5510","Production","56","Maize (corn)","t","710617469.58","E","Estimated value"
"QCL","Crops and livestock products","5510","Production","15","Wheat","t","612309550.11","E","Estimated value"
"QCL","Crops and livestock products","5510","Production","27","Rice","t","605272724.31","E","Estimated value"
"QCL","Crops and livestock products","5510","Production","882","Raw milk of cattle","t","541737864.99","E","Estimated value"
"QCL","Crops and livestock products","5510","Production","116","Potatoes","t","314344820.83","E","Estimated value"
"QCL","Crops and livestock products","5510","Production","157","Sugar beet","t","268229369.55","E","Estimated value"
"QCL","Crops and livestock products","5510","Production","463","Other vegetables, fresh n.e.c.","t","205173117.99","E","Estimated value"
"QCL","Crops and livestock products","5510","Production","125","Cassava, fresh","t","203127779.65","E","Estimated value"
"QCL","Crops and livestock products","5510","Production","236","Soya beans","t","193854264.81","E","Estimated value"
