Domain Code,Domain,Area Code,Area,Element Code,Element,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","41","China, mainland","5510","Production","t","188210376.1","E","Estimated value"
"QCL","Crops and livestock products","100","India","5510","Production","t","130627713.39","E","Estimated value"
"QCL","Crops and livestock products","101","Indonesia","5510","Production","t","50190805.54","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","t","37101907.12","E","Estimated value"
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","t","30778239.67","E","Estimated value"
"QCL","Crops and livestock products","216","Thailand","5510","Production","t","26432138.85","E","Estimated value"
"QCL","Crops and livestock products","28","Myanmar","5510","Production","t","21397161.49","E","Estimated value"
"QCL","Crops and livestock products","171","Philippines","5510","Production","t","13283738.6","E","Estimated value"
"QCL","Crops and livestock products","110","Japan","5510","Production","t","11832952.44","E","Estimated value"
"QCL","Crops and livestock products","21","Brazil","5510","Production","t","10708508.66","E","Estimated value"
